"tourney_id","tourney_name","tourney_ioc","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points","tourney_date_num","w_w_14d","w_l_14d","l_w_14d","l_l_14d","w_w_28d","w_l_28d","l_w_28d","l_l_28d","mins_so_far_w","mins_so_far_l","rank_difference","rank_points_difference","winner_ioc_home_adv","winner_ioc_home_disadv","age_difference","age_mean_difference","winner_odds","loser_odds","winner_odds_prob","loser_odds_prob"
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,295,111815,NA,"","Cameron Norrie","L",188,"GBR",25.3689253936,126207,"8","","Frances Tiafoe","R",188,"USA",22.9568788501,"6-0 3-6 6-4",3,"QF",133,7,4,78,49,37,12,12,9,11,6,1,96,58,38,16,13,12,17,74,877,62,1005,0,2,0,2,0,2,0,2,0,162,185,-12,-128,0,1,2.4120465435,-2.4120465435,2.05,1.8,0.467532467532468,0.532467532467532
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,296,128034,"4","","Hubert Hurkacz","R",196,"POL",23.8959616701,105933,NA,"Q","Roberto Quiroz","L",193,"ECU",28.8651608487,"6-4 6-4",3,"QF",85,2,1,54,39,29,8,10,2,3,2,1,68,43,28,10,10,7,10,35,1518,293,171,0,1,0,2,0,1,0,2,0,59,148,258,1347,0,0,-4.9691991786,1.86618249457949,1.15,5.62,0.8301329394387,0.1698670605613
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,297,106328,NA,"Q","Christian Harrison","R",NA,"USA",26.6036960986,126149,NA,"","Gianluca Mager","R",185,"ITA",26.0944558522,"7-6(2) 6-4",3,"QF",94,2,4,69,47,39,12,11,3,4,5,6,83,45,34,18,11,9,11,789,22,101,733,0,2,0,2,0,2,0,2,0,170,197,-688,-711,1,0,0.509240246400001,-0.509240246400001,1.69,2.15,0.559895833333333,0.440104166666667
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,298,200624,NA,"","Sebastian Korda","R",196,"USA",20.501026694,111815,NA,"","Cameron Norrie","L",188,"GBR",25.3689253936,"6-3 7-5",3,"SF",81,6,4,60,36,29,11,11,0,2,3,5,56,35,25,7,10,2,6,119,566,74,877,0,3,0,3,0,3,0,3,0,332,295,-45,-311,1,0,-4.8678986996,4.8678986996,1.67,2.22,0.570694087403599,0.429305912596401
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,299,128034,"4","","Hubert Hurkacz","R",196,"POL",23.8959616701,106328,NA,"Q","Christian Harrison","R",NA,"USA",26.6036960986,"7-6(4) 6-4",3,"SF",97,7,1,70,44,30,15,11,2,3,5,4,70,46,29,13,11,3,5,35,1518,789,22,0,2,0,3,0,2,0,3,0,144,264,754,1496,0,1,-2.7077344285,2.7077344285,1.33,3.35,0.715811965811966,0.284188034188034
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,300,128034,"4","","Hubert Hurkacz","R",196,"POL",23.8959616701,200624,NA,"","Sebastian Korda","R",196,"USA",20.501026694,"6-3 6-3",3,"F",71,4,0,50,38,27,7,9,0,1,1,5,55,33,20,9,9,1,5,35,1518,119,566,0,3,0,4,0,3,0,4,0,241,413,84,952,0,1,3.3949349761,-3.3949349761,1.82,2.01,0.524804177545692,0.475195822454308
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,270,105676,"2","","David Goffin","R",180,"BEL",30.0780287474,105732,NA,"","Pierre Hugues Herbert","R",188,"FRA",29.8015058179,"3-6 7-5 6-0",3,"R32",122,3,1,86,48,33,15,13,2,7,7,4,99,64,37,13,14,11,19,16,2555,83,822,1,0,0,0,0,0,0,0,0,0,0,67,1733,0,0,0.2765229295,0.2765229295,1.43,2.77,0.65952380952381,0.34047619047619
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,271,200095,NA,"","Nicola Kuhn","R",NA,"ESP",20.7939767283,104897,NA,"Q","Matthias Bachinger","R",188,"GER",33.7604380561,"3-6 6-3 4-1 RET",3,"R32",108,2,3,63,37,29,14,11,1,2,7,3,84,50,33,16,12,11,14,253,219,279,189,1,0,0,0,0,0,0,0,0,0,0,26,30,0,0,-12.9664613278,0.0728902289794924,2.37,1.57,0.398477157360406,0.601522842639594
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,272,200325,NA,"","Emil Ruusuvuori","R",188,"FIN",21.7604380561,106210,NA,"","Jiri Vesely","L",198,"CZE",27.4880219028,"6-3 7-6(4)",3,"R32",81,1,0,60,47,40,8,11,0,0,9,0,55,36,29,10,10,1,2,87,806,67,928,1,0,0,0,0,0,0,0,0,0,0,-20,-122,0,0,-5.7275838467,5.37884505447949,1.51,2.52,0.62531017369727,0.37468982630273
"2021-9426","Antalya","TUR","Hard",32,"A",20210105,273,105882,NA,"","Stefano Travaglia","R",185,"ITA",29.0212183436,200175,"7","","Miomir Kecmanovic","R",183,"SRB",21.3470225873,"1-6 6-4 6-0",3,"R32",92,5,3,66,39,26,14,11,0,3,3,2,76,47,27,14,12,4,9,75,869,42,1328,1,0,0,0,0,0,0,0,0,0,0,-33,-459,0,0,7.6741957563,-4.25906408247949,2.69,1.45,0.35024154589372,0.64975845410628
