"tourney_id","tourney_name","tourney_ioc","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points","tourney_date_num","w_w_14d","w_l_14d","l_w_14d","l_l_14d","w_w_28d","w_l_28d","l_w_28d","l_l_28d","mins_so_far_w","mins_so_far_l","rank_difference","rank_points_difference","winner_ioc_home_adv","winner_ioc_home_disadv","age_difference","age_mean_difference","winner_odds","loser_odds","winner_odds_prob","loser_odds_prob"
"2021-0439","Umag","CRO","Clay",32,"A",20210719,290,207989,"7","","Carlos Alcaraz","R",185,"ESP",18.2067077344,105413,NA,"","Andrej Martin","R",180,"SVK",31.8275154004,"6-3 6-1",3,"R16",75,1,2,52,38,25,7,8,3,5,0,0,48,31,12,8,8,8,14,73,963,117,696,195.958333333332,1,0,1,0,1,0,1,0,126,156,44,267,0,0,-13.620807666,4.59308187857949,1.16,5.16,0.816455696202532,0.183544303797468
"2021-0439","Umag","CRO","Clay",32,"A",20210719,291,105936,"3","","Filip Krajinovic","R",185,"SRB",29.3908281999,105430,NA,"","Radu Albot","R",175,"MDA",31.6851471595,"6-4 6-2",3,"R16",87,2,3,55,32,24,14,9,3,4,1,2,58,33,20,9,9,3,7,34,1724,92,836,195.958333333332,4,1,1,1,4,1,1,1,0,123,58,888,0,0,-2.2943189596,-2.2943189596,1.18,4.91,0.80623973727422,0.19376026272578
"2021-0439","Umag","CRO","Clay",32,"A",20210719,292,105882,NA,"","Stefano Travaglia","R",185,"ITA",29.5578370979,126535,NA,"","Carlos Taberner","R",NA,"ESP",23.9452429843,"6-4 6-3",3,"R16",101,8,2,59,36,25,13,9,2,4,0,2,60,34,17,15,10,2,7,91,839,108,760,195.958333333332,1,0,2,1,1,0,2,1,112,78,17,79,0,0,5.6125941136,-1.12422493117949,2.2,1.67,0.431524547803618,0.568475452196383
"2021-0439","Umag","CRO","Clay",32,"A",20210719,293,105077,"1","","Albert Ramos","L",188,"ESP",33.5030800821,207213,NA,"WC","Duje Ajdukovic","R",NA,"CRO",20.4490075291,"7-5 6-4",3,"R16",113,2,2,69,45,31,13,11,4,6,4,3,74,45,27,13,11,6,10,43,1563,275,216,195.958333333332,0,1,1,0,0,1,1,0,0,72,232,1347,0,1,13.054072553,-0.675217402179491,1.31,3.48,0.726513569937369,0.273486430062631
"2021-0439","Umag","CRO","Clay",32,"A",20210719,294,127157,NA,"Q","Daniel Altmaier","R",NA,"GER",22.8501026694,105583,"2","","Dusan Lajovic","R",180,"SRB",31.0527036277,"6-2 6-4",3,"QF",91,4,2,56,29,27,11,9,4,5,0,2,69,43,23,14,9,9,13,152,509,45,1450,195.958333333332,2,1,3,1,2,1,3,1,233,110,-107,-941,0,0,-8.2026009583,0.724498716279491,2.43,1.59,0.395522388059701,0.604477611940298
"2021-0439","Umag","CRO","Clay",32,"A",20210719,295,104755,"4","","Richard Gasquet","R",185,"FRA",35.0855578371,106000,NA,"","Damir Dzumhur","R",172,"BIH",29.1635865845,"6-3 7-6(7)",3,"QF",110,3,2,75,49,36,13,11,2,4,1,2,67,45,31,10,10,5,8,59,1139,127,636,195.958333333332,1,1,2,0,1,1,2,0,111,143,68,503,0,0,5.9219712526,5.9219712526,1.6,2.34,0.593908629441624,0.406091370558376
"2021-0439","Umag","CRO","Clay",32,"A",20210719,296,207989,"7","","Carlos Alcaraz","R",185,"ESP",18.2067077344,105936,"3","","Filip Krajinovic","R",185,"SRB",29.3908281999,"7-6(3) 2-6 6-1",3,"QF",138,0,2,89,63,44,10,13,5,9,2,2,92,64,36,15,14,4,9,73,963,34,1724,195.958333333332,2,0,5,1,2,0,5,1,201,87,-39,-761,0,0,-11.1841204655,7.02976907907949,1.83,1.99,0.520942408376963,0.479057591623037
"2021-0439","Umag","CRO","Clay",32,"A",20210719,297,105077,"1","","Albert Ramos","L",188,"ESP",33.5030800821,105882,NA,"","Stefano Travaglia","R",185,"ITA",29.5578370979,"6-2 6-1",3,"QF",67,1,5,52,36,26,9,8,1,2,1,2,38,21,13,2,7,1,6,43,1563,91,839,195.958333333332,1,1,2,0,1,1,2,0,113,213,48,724,0,0,3.9452429842,3.9452429842,1.65,2.12,0.562334217506631,0.437665782493369
"2021-0439","Umag","CRO","Clay",32,"A",20210719,298,104755,"4","","Richard Gasquet","R",185,"FRA",35.0855578371,127157,NA,"Q","Daniel Altmaier","R",NA,"GER",22.8501026694,"7-6(2) 3-6 6-3",3,"SF",191,6,3,124,73,51,23,15,7,10,7,1,114,63,46,24,15,14,17,59,1139,152,509,195.958333333332,2,1,3,1,2,1,3,1,221,324,93,630,0,0,12.2354551677,3.30835549312051,1.73,2.15,0.554123711340206,0.445876288659794
"2021-0439","Umag","CRO","Clay",32,"A",20210719,299,207989,"7","","Carlos Alcaraz","R",185,"ESP",18.2067077344,105077,"1","","Albert Ramos","L",188,"ESP",33.5030800821,"6-2 7-6(3)",3,"SF",119,1,2,70,50,32,10,10,5,8,2,2,84,53,26,18,10,9,14,73,963,43,1563,195.958333333332,3,0,2,1,3,0,2,1,339,180,-30,-600,0,0,-15.2963723477,2.91751719687949,1.49,2.71,0.645238095238095,0.354761904761905
"2021-0439","Umag","CRO","Clay",32,"A",20210719,300,207989,"7","","Carlos Alcaraz","R",185,"ESP",18.2067077344,104755,"4","","Richard Gasquet","R",185,"FRA",35.0855578371,"6-2 6-2",3,"F",76,0,2,49,27,21,13,8,3,3,1,5,55,26,18,11,8,4,8,73,963,59,1139,195.958333333332,4,0,3,1,4,0,3,1,458,412,-14,-176,0,0,-16.8788501027,1.33503944187949,1.25,4.17,0.769372693726937,0.230627306273063
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,271,106331,NA,"Q","Christopher Oconnell","R",183,"AUS",27.1457905544,106045,NA,"","Denis Kudla","R",180,"USA",28.93908282,"4-6 6-3 6-3",3,"R32",110,19,2,74,51,45,13,14,3,4,11,8,94,51,37,23,14,5,8,132,632,103,778,202.958333333332,0,0,2,2,0,0,2,2,0,0,-29,-146,0,1,-1.7932922656,-1.45756836102051,1.8,2,0.526315789473684,0.473684210526316
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,272,106058,NA,"WC","Jack Sock","R",185,"USA",28.8350444901,105575,NA,"","Ricardas Berankis","R",175,"LTU",31.0965092402,"6-7(4) 6-4 7-5",3,"R32",169,12,2,105,55,47,30,17,0,0,8,4,112,59,47,32,17,3,5,201,353,84,873,202.958333333332,2,1,0,1,2,1,0,1,0,0,-117,-520,1,0,-2.2614647501,-2.2614647501,1.57,2.26,0.590078328981723,0.409921671018277
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,273,104545,"6","","John Isner","R",206,"USA",36.2491444216,200670,NA,"PR","J J Wolf","R",NA,"USA",22.5954825462,"6-4 6-7(3) 6-4",3,"R32",128,36,1,86,66,53,17,16,1,1,19,5,93,50,41,27,16,2,4,35,1718,151,510,202.958333333332,2,1,0,1,2,1,0,1,0,0,116,1208,0,0,13.6536618754,4.21732195442051,1.23,4.12,0.770093457943925,0.229906542056075
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,275,106216,NA,"Q","Bjorn Fratangelo","R",NA,"USA",28.0191649555,104312,NA,"","Andreas Seppi","R",190,"ITA",37.4264202601,"7-5 7-6(5)",3,"R32",107,15,0,76,52,41,15,12,1,1,15,0,83,55,40,17,12,3,4,190,373,87,863,202.958333333332,0,0,0,1,0,0,0,1,0,0,-103,-490,1,0,-9.4072553046,-9.4072553046,1.62,2.35,0.591939546599496,0.408060453400504
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,276,105449,NA,"","Steve Johnson","R",188,"USA",31.5865845311,200615,NA,"","Alexei Popyrin","R",196,"AUS",21.9739904175,"7-6(4) 6-3",3,"R32",75,12,0,55,34,32,17,11,0,0,11,3,56,36,30,12,10,1,2,80,916,73,970,202.958333333332,2,2,0,0,2,2,0,0,0,0,-7,-54,1,0,9.6125941136,-1.06673006477949,2.3,1.61,0.411764705882353,0.588235294117647
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,277,126203,"5","","Taylor Fritz","R",193,"USA",23.742642026,105539,NA,"Q","Evgeny Donskoy","R",185,"RUS",31.2142368241,"6-3 6-4",3,"R32",65,6,1,53,35,27,14,10,1,1,3,1,48,30,23,7,9,0,2,42,1560,154,494,202.958333333332,2,1,1,2,2,1,1,2,0,0,112,1066,1,0,-7.4715947981,-0.329573836720506,1.21,4.44,0.785840707964602,0.214159292035398
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,278,105332,"7","","Benoit Paire","R",196,"FRA",32.2162902122,106034,NA,"","Yasutaka Uchiyama","R",183,"JPN",28.9719370294,"7-5 6-7(2) 6-4",3,"R32",131,16,10,96,52,46,26,17,2,3,11,1,105,63,45,27,17,3,6,49,1385,120,674,202.958333333332,4,2,1,2,4,2,1,2,0,0,71,711,0,0,3.2443531828,3.2443531828,1.57,2.33,0.597435897435897,0.402564102564103
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,279,200325,NA,"","Emil Ruusuvuori","R",188,"FIN",22.3162217659,111456,NA,"","Mackenzie Mcdonald","R",NA,"USA",26.2778918549,"7-6(3) 7-5",3,"R32",121,3,3,73,46,32,19,12,2,4,3,2,107,77,47,13,12,7,10,78,927,106,770,202.958333333332,1,1,0,1,1,1,0,1,0,0,28,157,0,1,-3.961670089,3.961670089,2,1.8,0.473684210526316,0.526315789473684
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,280,106401,NA,"","Nick Kyrgios","R",193,"AUS",26.2477754962,104731,NA,"","Kevin Anderson","R",203,"RSA",35.189596167,"7-6(4) 6-3",3,"R32",81,15,1,62,42,36,12,11,0,0,10,2,55,27,24,16,10,2,3,58,1158,75,958,202.958333333332,0,0,5,0,0,0,5,0,0,0,17,200,0,0,-8.9418206708,-6.81006664982051,1.67,2.17,0.565104166666667,0.434895833333333
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,282,111442,NA,"","Jordan Thompson","R",183,"AUS",27.266255989,144750,"8","","Lloyd Harris","R",193,"RSA",24.4161533196,"7-6(2) 1-6 6-2",3,"R32",150,10,4,94,52,40,18,13,13,17,9,1,98,71,46,12,14,9,13,63,1077,51,1303,202.958333333332,5,2,0,0,5,2,0,0,0,0,-12,-226,0,0,2.8501026694,-2.8501026694,2.24,1.64,0.422680412371134,0.577319587628866
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,283,105376,NA,"Q","Peter Gojowczyk","R",185,"GER",32.0301163587,105023,NA,"","Sam Querrey","R",198,"USA",33.8015058179,"4-6 7-6(3) 7-6(5)",3,"R32",117,12,5,112,67,57,22,17,1,2,36,2,95,60,53,22,17,0,0,130,633,70,1003,202.958333333332,2,2,0,2,2,2,0,2,0,0,-60,-370,0,1,-1.7713894592,-1.7713894592,1.94,1.86,0.489473684210526,0.510526315789474
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,284,206909,NA,"SE","Brandon Nakashima","R",NA,"USA",19.9780971937,200336,NA,"WC","Trent Bryde","R",NA,"USA",21.9219712526,"6-1 6-7(5) 6-4",3,"R32",145,10,0,97,60,46,22,15,1,2,2,0,97,62,43,17,14,4,8,115,718,1164,7,202.958333333332,4,1,0,0,4,1,0,0,0,0,1049,711,0,0,-1.9438740589,1.9438740589,1.03,11.15,0.915435139573071,0.0845648604269294
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,286,106331,NA,"Q","Christopher Oconnell","R",183,"AUS",27.1457905544,206173,"2","","Jannik Sinner","R",188,"ITA",19.9425051335,"7-6(7) 6-4",3,"R16",97,9,0,73,50,38,14,11,0,0,5,2,69,42,34,14,11,0,1,132,632,23,2320,202.958333333332,1,0,0,0,1,0,0,0,110,0,-109,-1688,0,0,7.2032854209,-7.2032854209,3.38,1.32,0.280851063829787,0.719148936170213
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,287,104545,"6","","John Isner","R",206,"USA",36.2491444216,106058,NA,"WC","Jack Sock","R",185,"USA",28.8350444901,"7-6(6) 6-4",3,"R16",98,13,3,68,47,41,10,11,1,1,15,2,67,47,38,10,11,1,2,35,1718,201,353,202.958333333332,3,1,3,1,3,1,3,1,128,169,166,1365,0,0,7.4140999315,7.4140999315,1.39,2.97,0.681192660550459,0.318807339449541
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,288,124187,"4","","Reilly Opelka","R",211,"USA",23.909650924,106216,NA,"Q","Bjorn Fratangelo","R",NA,"USA",28.0191649555,"7-6(3) 7-6(4)",3,"R16",98,25,3,68,50,44,13,12,0,1,9,3,67,43,37,14,12,0,1,36,1716,190,373,202.958333333332,0,0,1,0,0,0,1,0,0,107,154,1343,0,0,-4.1095140315,2.69848913387949,1.55,2.41,0.608585858585859,0.391414141414141
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,289,126203,"5","","Taylor Fritz","R",193,"USA",23.742642026,105449,NA,"","Steve Johnson","R",188,"USA",31.5865845311,"6-7(5) 6-4 6-1",3,"R16",118,17,3,90,50,45,22,15,1,1,11,3,83,57,42,14,14,3,6,42,1560,80,916,202.958333333332,3,1,3,2,3,1,3,2,65,75,38,644,0,0,-7.8439425051,-0.701921543720509,1.42,2.85,0.667447306791569,0.332552693208431
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,290,200325,NA,"","Emil Ruusuvuori","R",188,"FIN",22.3162217659,105332,"7","","Benoit Paire","R",196,"FRA",32.2162902122,"4-6 6-4 3-0 RET",3,"R16",116,4,3,91,56,37,22,12,8,9,15,9,81,41,32,16,11,5,7,78,927,49,1385,202.958333333332,2,1,5,2,2,1,5,2,121,131,-29,-458,0,0,-9.9000684463,0.0947930352794906,1.54,2.48,0.616915422885572,0.383084577114428
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,291,111815,"3","","Cameron Norrie","L",188,"GBR",25.9247091034,106401,NA,"","Nick Kyrgios","R",193,"AUS",26.2477754962,"6-1 6-4",3,"R16",56,8,1,50,35,29,9,9,1,1,8,2,41,24,19,5,8,1,4,29,1975,58,1158,202.958333333332,4,0,1,0,4,0,1,0,0,81,29,817,0,0,-0.323066392799998,0.323066392799998,2.18,1.69,0.436692506459948,0.563307493540052
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,292,111442,NA,"","Jordan Thompson","R",183,"AUS",27.266255989,105376,NA,"Q","Peter Gojowczyk","R",185,"GER",32.0301163587,"7-6(6) 6-4",3,"R16",107,18,1,62,42,32,15,11,1,2,6,4,79,34,26,24,11,9,11,63,1077,130,633,202.958333333332,6,2,3,2,6,2,3,2,150,117,67,444,0,0,-4.7638603697,-4.66906733432051,1.65,2.2,0.571428571428572,0.428571428571429
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,293,206909,NA,"SE","Brandon Nakashima","R",NA,"USA",19.9780971937,105683,"1","","Milos Raonic","R",196,"CAN",30.5790554415,"5-7 6-3 7-6(4)",3,"R16",132,13,0,98,57,47,21,17,2,5,27,10,89,51,42,18,16,2,5,115,718,22,2338,202.958333333332,5,1,0,0,5,1,0,0,145,0,-93,-1620,1,0,-10.6009582478,4.07015237817949,2.51,1.52,0.377171215880893,0.622828784119107
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,294,104545,"6","","John Isner","R",206,"USA",36.2491444216,106331,NA,"Q","Christopher Oconnell","R",183,"AUS",27.1457905544,"7-6(5) 6-7(3) 6-4",3,"QF",156,30,0,104,80,64,12,17,1,1,16,0,107,75,66,12,17,5,6,35,1718,132,632,202.958333333332,4,1,2,0,4,1,2,0,226,207,97,1086,1,0,9.1033538672,8.76762996262051,1.46,2.76,0.654028436018957,0.345971563981043
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,295,126203,"5","","Taylor Fritz","R",193,"USA",23.742642026,124187,"4","","Reilly Opelka","R",211,"USA",23.909650924,"7-6(5) 6-7(3) 7-6(4)",3,"QF",172,25,4,105,68,62,22,18,0,0,23,0,124,93,73,18,18,4,4,42,1560,36,1716,202.958333333332,4,1,1,0,4,1,1,0,183,98,-6,-156,0,0,-0.167008898000002,0.167008898000002,1.61,2.35,0.593434343434343,0.406565656565657
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,296,200325,NA,"","Emil Ruusuvuori","R",188,"FIN",22.3162217659,111815,"3","","Cameron Norrie","L",188,"GBR",25.9247091034,"7-6(1) 6-3",3,"QF",91,7,0,58,43,37,9,11,1,2,3,2,60,43,29,6,10,0,2,78,927,29,1975,202.958333333332,3,1,5,0,3,1,5,0,237,56,-49,-1048,0,0,-3.6084873375,3.6084873375,4.02,1.24,0.23574144486692,0.76425855513308
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,297,206909,NA,"SE","Brandon Nakashima","R",NA,"USA",19.9780971937,111442,NA,"","Jordan Thompson","R",183,"AUS",27.266255989,"7-6(5) 7-5",3,"QF",110,4,0,64,33,26,23,12,0,1,16,3,74,47,39,12,12,3,5,115,718,63,1077,202.958333333332,6,1,7,2,6,1,7,2,277,257,-52,-359,1,0,-7.2881587953,7.2881587953,1.7,2.19,0.562982005141388,0.437017994858612
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,298,104545,"6","","John Isner","R",206,"USA",36.2491444216,126203,"5","","Taylor Fritz","R",193,"USA",23.742642026,"7-6(4) 5-7 6-3",3,"SF",137,27,2,97,63,49,23,17,4,5,20,6,94,61,51,17,16,3,4,35,1718,42,1560,202.958333333332,5,1,5,1,5,1,5,1,382,355,7,158,0,0,12.5065023956,5.36448143422051,1.96,1.86,0.486910994764398,0.513089005235602
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,299,206909,NA,"SE","Brandon Nakashima","R",NA,"USA",19.9780971937,200325,NA,"","Emil Ruusuvuori","R",188,"FIN",22.3162217659,"3-6 6-4 6-3",3,"SF",114,14,1,85,51,43,15,14,4,6,7,6,75,55,45,5,14,0,3,115,718,78,927,202.958333333332,7,1,4,1,7,1,4,1,387,328,-37,-209,1,0,-2.3381245722,2.3381245722,2.15,1.72,0.444444444444444,0.555555555555555
"2021-6116","Atlanta","USA","Hard",32,"A",20210726,300,104545,"6","","John Isner","R",206,"USA",36.2491444216,206909,NA,"SE","Brandon Nakashima","R",NA,"USA",19.9780971937,"7-6(8) 7-5",3,"F",116,21,1,77,58,47,11,12,3,3,12,3,83,47,38,21,12,4,5,35,1718,115,718,202.958333333332,6,1,8,1,6,1,8,1,519,501,80,1000,0,0,16.2710472279,1.59993660192051,1.78,2.11,0.542416452442159,0.457583547557841
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,271,124079,NA,"","Pedro Martinez","R",NA,"ESP",24.2491444216,106298,NA,"","Lucas Pouille","R",185,"FRA",27.4195756331,"6-3 6-7(4) 6-4",3,"R32",163,4,3,102,70,48,21,15,7,8,11,8,113,54,36,32,16,7,11,97,816,104,775,202.958333333332,1,2,0,2,1,2,0,2,0,0,7,41,0,0,-3.1704312115,2.95858495867949,1.6,2.38,0.597989949748744,0.402010050251256
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,272,106210,NA,"","Jiri Vesely","L",198,"CZE",28.0438056126,105208,NA,"Q","Ernests Gulbis","R",190,"LAT",32.9034907598,"6-4 6-1",3,"R32",69,2,0,35,27,26,6,8,0,0,2,6,63,28,19,15,9,5,9,86,865,191,371,202.958333333332,1,2,0,0,1,2,0,0,0,0,105,494,0,0,-4.8596851472,-4.8596851472,1.51,2.54,0.627160493827161,0.37283950617284
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,273,106075,NA,"Q","Jozef Kovalik","R",183,"SVK",28.7227926078,144719,"9","","Jaume Munar","R",183,"ESP",24.2245037645,"6-4 6-4",3,"R32",115,1,1,84,42,27,23,10,19,21,2,7,56,31,20,10,10,1,5,131,633,67,1022,202.958333333332,0,1,0,2,0,1,0,2,0,0,-64,-389,0,0,4.4982888433,-1.68000864107949,2.81,1.43,0.337264150943396,0.662735849056604
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,275,126149,NA,"","Gianluca Mager","R",185,"ITA",26.6502395619,110602,NA,"WC","Dennis Novak","R",183,"AUT",27.909650924,"6-4 6-0",3,"R32",58,3,2,42,23,17,12,8,0,1,1,4,44,20,14,8,8,5,10,74,960,124,660,202.958333333332,1,2,1,2,1,2,1,2,0,0,50,300,0,1,-1.2594113621,0.0674145274794888,1.63,2.15,0.568783068783069,0.431216931216931
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,276,106065,NA,"","Marco Cecchinato","R",185,"ITA",28.8186173854,105430,NA,"","Radu Albot","R",175,"MDA",31.704312115,"6-3 7-6(7)",3,"R32",98,6,4,77,44,31,17,11,7,9,0,1,61,30,19,14,10,2,5,83,888,92,836,202.958333333332,2,2,1,2,2,2,1,2,0,0,9,52,0,0,-2.8856947296,-2.8856947296,1.46,2.79,0.656470588235294,0.343529411764706
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,277,127157,NA,"SE","Daniel Altmaier","R",NA,"GER",22.8692676249,111513,"6","","Laslo Djere","R",188,"SRB",26.1492128679,"4-6 6-3 6-3",3,"R32",130,4,4,90,57,42,10,14,8,12,5,4,88,47,28,20,14,7,13,135,603,50,1342,202.958333333332,3,2,6,2,3,2,6,2,0,0,-85,-739,0,0,-3.279945243,3.279945243,2.46,1.54,0.385,0.615
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,278,126239,NA,"Alt","Arthur Rinderknech","R",NA,"FRA",26.0095824778,105643,"5","","Federico Delbonis","L",190,"ARG",30.8062970568,"6-2 6-4",3,"R32",87,10,4,61,33,27,11,9,3,4,1,2,57,31,18,12,9,2,6,91,842,46,1435,202.958333333332,4,2,4,2,4,2,4,2,0,0,-45,-593,0,0,-4.796714579,-2.18857452122051,2.27,1.62,0.416452442159383,0.583547557840617
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,279,208029,NA,"Q","Holger Rune","R",NA,"DEN",18.2422997947,105882,NA,"","Stefano Travaglia","R",185,"ITA",29.5770020534,"6-3 6-4",3,"R32",80,4,2,58,36,24,15,10,1,3,3,3,54,34,23,5,9,3,7,206,349,88,861,202.958333333332,1,2,2,1,1,2,2,1,0,0,-118,-512,0,0,-11.3347022587,6.80800316527949,2.17,1.68,0.436363636363636,0.563636363636364
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,280,126535,NA,"LL","Carlos Taberner","R",NA,"ESP",23.9644079398,205734,NA,"WC","Thiago Seyboth Wild","R",NA,"BRA",21.3771389459,"3-6 6-3 6-2",3,"R32",122,4,5,78,41,32,18,13,1,4,8,8,87,49,33,15,13,5,10,108,756,117,695,202.958333333332,2,2,1,2,2,2,1,2,0,0,9,61,0,0,2.5872689939,-2.5872689939,1.5,2.57,0.631449631449631,0.368550368550369
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,282,126623,NA,"WC","Alexander Erler","U",NA,"AUT",23.7453798768,207989,"10","","Carlos Alcaraz","R",185,"ESP",18.2258726899,"7-5 1-6 6-2",3,"R32",129,2,4,91,56,36,19,13,8,11,1,4,83,44,29,20,14,0,4,337,146,55,1206,202.958333333332,0,0,5,0,0,0,5,0,0,0,-282,-1060,1,0,5.5195071869,-5.5195071869,8.29,1.06,0.113368983957219,0.886631016042781
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,283,144707,NA,"","Mikael Ymer","R",183,"SWE",22.8774811773,104655,NA,"","Pablo Cuevas","R",180,"URU",35.5646817248,"6-3 7-5",3,"R32",94,1,3,75,49,35,13,11,5,6,4,1,70,52,32,8,10,9,12,99,810,94,832,202.958333333332,2,2,0,2,2,2,0,2,0,0,-5,-22,0,0,-12.6872005475,-3.81485788872051,2.67,1.47,0.355072463768116,0.644927536231884
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,284,106408,NA,"LL","Mario Vilella Martinez","R",NA,"ESP",26.0643394935,209903,NA,"Q","Lukas Neumayer","R",183,"AUT",18.8856947296,"6-7(4) 7-5 6-4",3,"R32",167,7,10,117,60,47,26,17,7,10,1,4,111,69,49,21,17,5,10,167,446,980,13,202.958333333332,0,0,0,0,0,0,0,0,0,0,813,433,0,1,7.1786447639,-7.1786447639,1.18,4.72,0.8,0.2
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,286,124079,NA,"","Pedro Martinez","R",NA,"ESP",24.2491444216,105138,"2","","Roberto Bautista Agut","R",183,"ESP",33.2813141684,"6-4 6-7(5) 7-5",3,"R16",185,3,7,114,67,45,23,17,3,6,4,3,108,66,42,20,17,6,11,97,816,16,2720,202.958333333332,2,2,0,1,2,2,0,1,163,0,-81,-1904,0,0,-9.0321697468,-2.90315357662051,2.59,1.46,0.360493827160494,0.639506172839506
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,287,106075,NA,"Q","Jozef Kovalik","R",183,"SVK",28.7227926078,106210,NA,"","Jiri Vesely","L",198,"CZE",28.0438056126,"2-6 6-2 6-4",3,"R16",118,1,4,72,40,28,17,13,2,5,15,5,72,39,30,15,13,4,8,131,633,86,865,202.958333333332,1,1,2,2,1,1,2,2,115,69,-45,-232,0,0,0.678986995199999,0.678986995199999,2.2,1.67,0.431524547803618,0.568475452196383
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,288,126149,NA,"","Gianluca Mager","R",185,"ITA",26.6502395619,105077,"4","","Albert Ramos","L",188,"ESP",33.5222450376,"7-6(3) 1-6 7-5",3,"R16",142,8,3,91,48,31,25,15,3,7,3,3,110,63,44,29,16,7,10,74,960,43,1505,202.958333333332,2,2,2,2,2,2,2,2,58,0,-31,-545,0,0,-6.8720054757,-5.54517958612051,2.28,1.62,0.415384615384615,0.584615384615385
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,289,127157,NA,"SE","Daniel Altmaier","R",NA,"GER",22.8692676249,106065,NA,"","Marco Cecchinato","R",185,"ITA",28.8186173854,"6-4 6-4",3,"R16",96,0,1,68,40,26,16,10,7,9,0,1,58,37,19,13,10,4,8,135,603,83,888,202.958333333332,4,2,3,2,4,2,3,2,130,98,-52,-285,0,0,-5.9493497605,2.93942000307949,1.71,2.12,0.553524804177546,0.446475195822454
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,290,126239,NA,"Alt","Arthur Rinderknech","R",NA,"FRA",26.0095824778,208029,NA,"Q","Holger Rune","R",NA,"DEN",18.2422997947,"6-4 3-6 7-6(4)",3,"R16",146,12,8,92,55,46,17,15,4,6,2,7,104,60,44,22,16,5,7,91,842,206,349,202.958333333332,5,2,2,2,5,2,2,2,87,80,115,493,0,0,7.7672826831,-7.7672826831,1.46,2.69,0.648192771084337,0.351807228915663
"2021-0319","Kitzbuhel","AUT","Clay",32,"A",20210726,291,105936,"3","","Filip Krajinovic","R",185,"SRB",29.4099931554,126535,NA,"LL","Carlos Taberner","R",NA,"ESP",23.9644079398,"6-3 2-6 6-4",3,"R16",124,4,0,87,56,36,17,14,7,11,4,2,70,47,32,11,13,3,7,33,1724,108,756,202.958333333332,5,2,3,2,5,2,3,2,0,122,75,968,0,0,5.4455852156,-1.25290391817949,1.34,3.25,0.708061002178649,0.291938997821351
